white_id,opening_name,Games Played,Win Rate
--jim--,Scandinavian Defense,1,0.0
-l-_jedi_knight_-l-,Guatemala Defense,1,1.0
-l-_jedi_knight_-l-,King's Gambit Accepted |  Bishop's Gambit |  Maurian Defense,1,0.0
-l-_jedi_knight_-l-,Owen Defense,2,0.5
-l-_jedi_knight_-l-,Scandinavian Defense: Mieses-Kotroc Variation,2,0.5
-mati-,Barnes Defense,1,1.0
-pavel-,Scandinavian Defense: Mieses-Kotroc Variation,1,1.0
1063314,English Opening: The Whale,1,1.0
1111112222,Pirc Defense: Byrne Variation,1,0.0
1111112222,Sicilian Defense: Bowdler Attack,1,0.0
1240100948,Dutch Defense,2,1.0
1240100948,Englund Gambit,2,1.0
1240100948,Horwitz Defense,5,0.8
1240100948,Indian Game,9,0.3333333333333333
1240100948,Modern Defense,5,0.6
1240100948,Queen's Pawn,2,1.0
1240100948,Queen's Pawn Game: Mason Attack,9,0.5555555555555556
1240100948,Queen's Pawn Game: Steinitz Countergambit,4,0.25
12ss34,Queen's Gambit Refused: Marshall Defense,1,1.0
20200,Van't Kruijs Opening,1,1.0
222222,French Defense #2,1,1.0
2700172,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,2,0.0
2700172,Sicilian Defense: Bowdler Attack,2,0.5
29rus,Queen's Pawn Game: Mason Attack,1,1.0
2vincent2,King's Pawn Game: Macleod Attack,1,0.0
5b2013jonathan,French Defense #2,1,1.0
5b2013jonathan,Italian Game: Two Knights Defense,1,0.0
5meodipt,Italian Game: Two Knights Defense,1,0.0
79165333785,King's Pawn Game: Leonardis Variation,1,1.0
a-00,Nimzowitsch Defense: Kennedy Variation,1,0.0
a-maniac-hell,Sicilian Defense: Smith-Morra Gambit #2,1,0.0
a-mb,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,1,0.0
a1s2d3,Alekhine Defense: Scandinavian Variation,1,1.0
a2520,Sicilian Defense: Smith-Morra Gambit #2,1,1.0
a3o,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,1,1.0
a55s72,Bird Opening,1,0.0
a55s72,Rat Defense: Harmonist,1,0.0
a7twen,Kadas Opening,1,0.0
a87144434784,Sicilian Defense: Accelerated Dragon,1,0.0
a99mimon,Old Indian Defense,1,1.0
a_arda_y,Ruy Lopez,1,1.0
a_p_t_e_m_u_u,Caro-Kann Defense #2,3,0.0
a_p_t_e_m_u_u,Four Knights Game: Italian Variation,9,0.4444444444444444
a_p_t_e_m_u_u,French Defense: Knight Variation,6,0.5
a_p_t_e_m_u_u,Giuoco Piano,3,1.0
a_p_t_e_m_u_u,Italian Game,5,0.4
a_p_t_e_m_u_u,King's Knight Opening: Normal Variation,3,1.0
a_p_t_e_m_u_u,Philidor Defense #2,4,0.75
a_p_t_e_m_u_u,Philidor Defense #3,2,0.0
a_p_t_e_m_u_u,Russian Game: Three Knights Game,3,1.0
a_p_t_e_m_u_u,Scandinavian Defense: Mieses-Kotroc Variation,1,1.0
a_p_t_e_m_u_u,Sicilian Defense: Bowdler Attack,4,0.0
a_p_t_e_m_u_u,Sicilian Defense: Closed Variation,3,1.0
a_p_t_e_m_u_u,Vienna Game,3,0.0
a_raccoon,Italian Game: Giuoco Pianissimo,1,1.0
a_sonnadjoshi,Sicilian Defense: Kan Variation |  Wing Attack,1,0.0
aa2009,French Defense: Knight Variation,1,1.0
aaa_1,Hungarian Opening,1,1.0
aaaaaaaddd,Benko Gambit Accepted |  Fully Accepted Variation,1,1.0
aaaaaaaddd,Horwitz Defense,4,1.0
aaaaaaaddd,King's Indian Defense: Four Pawns Attack,2,0.5
aaaaaaaddd,King's Indian Defense: Four Pawns Attack |  Dynamic Attack,1,0.0
aaaaaaaddd,Mieses Opening,9,0.7777777777777778
aaaaaaaddd,Queen's Gambit Accepted: Normal Variation,1,0.0
aaaaaaaddd,Queen's Gambit Declined: Exchange Variation,1,0.0
aaaaaaaddd,Queen's Gambit Declined: Exchange Variation |  Positional Variation #2,1,1.0
aaaaaaaddd,Queen's Gambit Declined: Queen's Knight Variation,1,0.0
aaaaaaaddd,Queen's Gambit Refused: Chigorin Defense #2,1,0.0
aaaaaaaddd,Semi-Slav Defense: Accelerated Move Order,1,0.0
aaaaaaaddd,Slav Defense: Exchange Variation,2,0.0
aaaaaaaddd,Van't Kruijs Opening,1,1.0
aalmeida,Alekhine Defense,2,0.0
aanady,King's Gambit Accepted |  King's Knight Gambit,1,1.0
aarush_shukla,Four Knights Game: Spanish Variation,1,0.0
aarya143,Danish Gambit Accepted |  Copenhagen Defense,1,0.0
ab2,Queen's Pawn Game: Chigorin Variation,1,0.0
ab_elkholy,French Defense: Advance Variation,1,0.0
abaraba,Dutch Defense: Normal Variation,3,1.0
abbas25865,Sicilian Defense: Alapin Variation |  Smith-Morra Declined,1,1.0
abbedreza,Sicilian Defense: Alapin Variation,1,1.0
abcd0987,Scandinavian Defense: Modern Variation #2,1,1.0
abcd0987,Scandinavian Defense: Portuguese Variation,1,0.0
abdallah993,Caro-Kann Defense: Exchange Variation,1,1.0
abdallah_t_mahmoud,Center Game: Berger Variation,1,0.0
abdallahsweden,Nimzo-Larsen Attack: Modern Variation #2,1,1.0
abdel19,Queen's Pawn,1,0.0
abdelkaben,French Defense #2,1,0.0
abdelkadeer,Sicilian Defense: Snyder Variation,1,0.0
abdiellopez4,Blackmar-Diemer Gambit,1,0.0
abdiellopez4,French Defense: King's Indian Attack,1,0.0
abdito,Van't Kruijs Opening,1,0.0
abdolvhab,Italian Game: Classical Variation #2,1,0.0
abdoulrhman,Queen's Pawn Game #2,1,1.0
abdouorabi,Scandinavian Defense: Portuguese Variation,1,0.0
abdullah116,Sicilian Defense: Paulsen Variation,1,0.0
abel4865,Hungarian Opening: Indian Defense,1,0.0
